NAMESPACE,NAME,VS,PF,READY,STATUS,RESTARTS,CPU,MEM,CPU/R:L,MEM/R:L,%CPU/R,%CPU/L,%MEM/R,%MEM/L,IP,NODE,NOMINATED NODE,READINESS GATES,QOS,LABELS,VALID,AGE
auxiliary,prometheus-operator-loki-logs-wr79h,0,●,2/2,Running,0,2,75,0:0,0:0,n/a,n/a,n/a,n/a,10.2.32.3,cc01-pool-1-node-938903,<none>,<none>,BE,app.kubernetes.io/instance=prometheus-operator-loki app.kubernetes.io/managed-by=grafana-agent-operator app.kubernetes.io/name=grafana-agent app.kubernetes.io/version=v0-34-1 controller-revision-hash=54c7f8c8bb grafana-agent=prometheus-operator-loki operator.agent.grafana.com/name=prometheus-operator-loki operator.agent.grafana.com/type=logs pod-template-generation=1,,91d
auxiliary,promtail-bb8dw,0,●,1/1,Running,0,19,89,0:0,0:0,n/a,n/a,n/a,n/a,10.2.32.5,cc01-pool-1-node-938903,<none>,<none>,BE,app.kubernetes.io/instance=promtail app.kubernetes.io/name=promtail controller-revision-hash=547f785cfd pod-template-generation=1,,91d
auxiliary,vault-secrets-operator-controller-manager-77b654b4bf-g4pzx,0,●,2/2,Running,1,5,59,15:1000,128:256,33,0,46,23,10.2.26.10,cc01-pool-1-node-325afd,<none>,<none>,BU,app.kubernetes.io/instance=vault-secrets-operator app.kubernetes.io/name=vault-secrets-operator control-plane=controller-manager pod-template-hash=77b654b4bf,,10d
dev,complero-service-gorod-56fb74dd56-2tvzb,0,●,1/1,Running,0,3,261,0:0,0:0,n/a,n/a,n/a,n/a,10.2.32.19,cc01-pool-1-node-938903,<none>,<none>,BE,app.kubernetes.io/instance=complero-service app.kubernetes.io/name=complero-service-gorod pod-template-hash=56fb74dd56,,10d
kube-system,kube-proxy-64rft,0,●,1/1,Running,0,1,23,100:0,200:200,1,n/a,11,11,10.0.1.139,cc01-pool-1-node-325afd,<none>,<none>,BU,controller-revision-hash=b74f6f4dd mks.ovh/version=1.28.3-1 name=kube-proxy pod-template-generation=6,,10d
auxiliary,loki-canary-5dtnd,0,●,1/1,Running,0,2,25,0:0,0:0,n/a,n/a,n/a,n/a,10.2.1.2,cc01-pool-1-node-9b4b91,<none>,<none>,BE,app.kubernetes.io/component=canary app.kubernetes.io/instance=loki app.kubernetes.io/name=loki controller-revision-hash=9bb56688c pod-template-generation=1,,83d
auxiliary,loki-logs-pc4fg,0,●,2/2,Running,0,10,112,0:0,0:0,n/a,n/a,n/a,n/a,10.2.1.4,cc01-pool-1-node-9b4b91,<none>,<none>,BE,app.kubernetes.io/instance=loki app.kubernetes.io/managed-by=grafana-agent-operator app.kubernetes.io/name=grafana-agent app.kubernetes.io/version=v0-34-1 controller-revision-hash=77594ff8bd grafana-agent=loki operator.agent.grafana.com/name=loki operator.agent.grafana.com/type=logs pod-template-generation=1,,83d
auxiliary,prometheus-operator-kube-state-metrics-6d5c4f65cc-kmqj4,0,●,1/1,Running,0,2,30,0:0,0:0,n/a,n/a,n/a,n/a,10.2.32.12,cc01-pool-1-node-938903,<none>,<none>,BE,app.kubernetes.io/component=metrics app.kubernetes.io/instance=prometheus-operator app.kubernetes.io/managed-by=Helm app.kubernetes.io/name=kube-state-metrics app.kubernetes.io/part-of=kube-state-metrics app.kubernetes.io/version=2.9.2 helm.sh/chart=kube-state-metrics-5.10.1 pod-template-hash=6d5c4f65cc release=prometheus-operator,,10d
auxiliary,prometheus-prometheus-operator-kube-p-prometheus-0,0,●,2/2,Running,0,22,706,200:0,50:0,11,n/a,1413,n/a,10.2.7.9,cc01-pool-1-node-da6e34,<none>,<none>,BU,app.kubernetes.io/instance=prometheus-operator-kube-p-prometheus app.kubernetes.io/managed-by=prometheus-operator app.kubernetes.io/name=prometheus app.kubernetes.io/version=2.45.0 apps.kubernetes.io/pod-index=0 controller-revision-hash=prometheus-prometheus-operator-kube-p-prometheus-7ddffb4dbf operator.prometheus.io/name=prometheus-operator-kube-p-prometheus operator.prometheus.io/shard=0 prometheus=prometheus-operator-kube-p-prometheus statefulset.kubernetes.io/pod-name=prometheus-prometheus-operator-kube-p-prometheus-0,,10d
auxiliary,boundary-controller-68797cff5c-lkd28,0,●,1/1,Running,0,16,95,0:0,0:0,n/a,n/a,n/a,n/a,10.2.1.60,cc01-pool-1-node-9b4b91,<none>,<none>,BE,app.kubernetes.io/component=boundary-controller app.kubernetes.io/instance=boundary app.kubernetes.io/name=boundary pod-template-hash=68797cff5c,,8h
auxiliary,postgres-pgadmin-backup-28477500-g9v9g,0,●,0/1,Completed,0,0,0,0:0,0:0,n/a,n/a,n/a,n/a,10.2.1.64,cc01-pool-1-node-9b4b91,<none>,<none>,BE,batch.kubernetes.io/controller-uid=30e66678-4030-4074-8b6a-68a7a61d2fef batch.kubernetes.io/job-name=postgres-pgadmin-backup-28477500 controller-uid=30e66678-4030-4074-8b6a-68a7a61d2fef job-name=postgres-pgadmin-backup-28477500,,8h
auxiliary,vault-0,0,●,1/1,Running,0,33,72,0:0,0:0,n/a,n/a,n/a,n/a,10.2.26.21,cc01-pool-1-node-325afd,<none>,<none>,BE,app.kubernetes.io/instance=vault app.kubernetes.io/name=vault apps.kubernetes.io/pod-index=0 component=server controller-revision-hash=vault-546b6ddf48 helm.sh/chart=vault-0.25.0 statefulset.kubernetes.io/pod-name=vault-0 vault-active=false vault-initialized=true vault-perf-standby=false vault-sealed=false vault-version=1.14.0,,10d
kube-system,calico-kube-controllers-5dcdf77c67-dcf2n,0,●,1/1,Running,0,3,38,0:0,0:0,n/a,n/a,n/a,n/a,10.2.26.14,cc01-pool-1-node-325afd,<none>,<none>,BE,k8s-app=calico-kube-controllers mks.ovh/version=1.28.3-1 pod-template-hash=5dcdf77c67,,10d
auxiliary,flagsmith-api-6df558d7c7-l8hrq,0,●,1/1,Running,4,23,319,0:0,0:0,n/a,n/a,n/a,n/a,10.2.1.7,cc01-pool-1-node-9b4b91,<none>,<none>,BE,app.kubernetes.io/component=api app.kubernetes.io/instance=flagsmith app.kubernetes.io/name=flagsmith pod-template-hash=6df558d7c7,,10d
auxiliary,glitchtip-web-5c477c49b5-258pr,0,●,1/1,Running,0,1,302,100:1000,256:512,1,0,118,59,10.2.32.6,cc01-pool-1-node-938903,<none>,<none>,BU,app.kubernetes.io/component=web app.kubernetes.io/instance=glitchtip app.kubernetes.io/name=glitchtip pod-template-hash=5c477c49b5,,10d
kube-system,canal-448dg,0,●,2/2,Running,1,78,94,250:0,0:0,31,n/a,n/a,n/a,10.0.1.105,cc01-pool-1-node-938903,<none>,<none>,BU,controller-revision-hash=75b6598655 k8s-app=canal mks.ovh/version=1.28.3-1 pod-template-generation=6,,10d
kube-system,nginx-ingress-ingress-nginx-controller-6c98fb7844-bbw7q,0,●,1/1,Running,0,2,93,100:0,90:0,2,n/a,104,n/a,10.2.26.15,cc01-pool-1-node-325afd,<none>,<none>,BU,app.kubernetes.io/component=controller app.kubernetes.io/instance=nginx-ingress app.kubernetes.io/managed-by=Helm app.kubernetes.io/name=ingress-nginx app.kubernetes.io/part-of=ingress-nginx app.kubernetes.io/version=1.8.1 helm.sh/chart=ingress-nginx-4.7.1 pod-template-hash=6c98fb7844,,10d
auxiliary,prometheus-operator-loki-logs-mxt79,0,●,2/2,Running,0,3,77,0:0,0:0,n/a,n/a,n/a,n/a,10.2.2.5,cc01-pool-2-node-768869,<none>,<none>,BE,app.kubernetes.io/instance=prometheus-operator-loki app.kubernetes.io/managed-by=grafana-agent-operator app.kubernetes.io/name=grafana-agent app.kubernetes.io/version=v0-34-1 controller-revision-hash=54c7f8c8bb grafana-agent=prometheus-operator-loki operator.agent.grafana.com/name=prometheus-operator-loki operator.agent.grafana.com/type=logs pod-template-generation=1,,8d
auxiliary,prometheus-operator-prometheus-node-exporter-7r997,0,●,1/1,Running,0,2,16,0:0,0:0,n/a,n/a,n/a,n/a,10.0.1.105,cc01-pool-1-node-938903,<none>,<none>,BE,app.kubernetes.io/component=metrics app.kubernetes.io/instance=prometheus-operator app.kubernetes.io/managed-by=Helm app.kubernetes.io/name=prometheus-node-exporter app.kubernetes.io/part-of=prometheus-node-exporter app.kubernetes.io/version=1.6.0 controller-revision-hash=54b4d8c84f helm.sh/chart=prometheus-node-exporter-4.21.0 jobLabel=node-exporter pod-template-generation=1 release=prometheus-operator,,64d
dev,complero-service-6ccbb9b868-lmkgc,0,●,1/1,Running,0,5,62,500:1000,2048:4096,1,0,3,1,10.2.26.131,cc01-pool-1-node-325afd,<none>,<none>,BU,app.kubernetes.io/instance=complero-service app.kubernetes.io/name=complero-service pod-template-hash=6ccbb9b868,,8h
kube-system,nginx-ingress-ingress-nginx-controller-6c98fb7844-nq5qq,0,●,1/1,Running,0,2,106,100:0,90:0,2,n/a,117,n/a,10.2.1.16,cc01-pool-1-node-9b4b91,<none>,<none>,BU,app.kubernetes.io/component=controller app.kubernetes.io/instance=nginx-ingress app.kubernetes.io/managed-by=Helm app.kubernetes.io/name=ingress-nginx app.kubernetes.io/part-of=ingress-nginx app.kubernetes.io/version=1.8.1 helm.sh/chart=ingress-nginx-4.7.1 pod-template-hash=6c98fb7844,,10d
